filepath,filename,target,class
./data/data/green_area/Forest_2185.jpg,Forest_2185.jpg,2,green_area
./data/data/water/SeaLake_533.jpg,SeaLake_533.jpg,1,water
./data/data/cloudy/train_24777.jpg,train_24777.jpg,0,cloudy
./data/data/water/SeaLake_863.jpg,SeaLake_863.jpg,1,water
./data/data/desert/desert(625).jpg,desert(625).jpg,3,desert
./data/data/green_area/Forest_548.jpg,Forest_548.jpg,2,green_area
./data/data/desert/desert(462).jpg,desert(462).jpg,3,desert
./data/data/cloudy/train_10788.jpg,train_10788.jpg,0,cloudy
./data/data/desert/desert(696).jpg,desert(696).jpg,3,desert
./data/data/cloudy/train_17279.jpg,train_17279.jpg,0,cloudy
./data/data/cloudy/train_13047.jpg,train_13047.jpg,0,cloudy
./data/data/desert/desert(333).jpg,desert(333).jpg,3,desert
./data/data/water/SeaLake_896.jpg,SeaLake_896.jpg,1,water
./data/data/desert/desert(202).jpg,desert(202).jpg,3,desert
./data/data/green_area/Forest_837.jpg,Forest_837.jpg,2,green_area
./data/data/water/SeaLake_1818.jpg,SeaLake_1818.jpg,1,water
./data/data/desert/desert(244).jpg,desert(244).jpg,3,desert
./data/data/green_area/Forest_2101.jpg,Forest_2101.jpg,2,green_area
./data/data/water/SeaLake_1933.jpg,SeaLake_1933.jpg,1,water
./data/data/green_area/Forest_917.jpg,Forest_917.jpg,2,green_area
./data/data/desert/desert(494).jpg,desert(494).jpg,3,desert
./data/data/desert/desert(264).jpg,desert(264).jpg,3,desert
./data/data/cloudy/train_31887.jpg,train_31887.jpg,0,cloudy
./data/data/water/SeaLake_1423.jpg,SeaLake_1423.jpg,1,water
./data/data/desert/desert(853).jpg,desert(853).jpg,3,desert
./data/data/green_area/Forest_209.jpg,Forest_209.jpg,2,green_area
./data/data/water/SeaLake_525.jpg,SeaLake_525.jpg,1,water
./data/data/water/SeaLake_924.jpg,SeaLake_924.jpg,1,water
./data/data/cloudy/train_35773.jpg,train_35773.jpg,0,cloudy
./data/data/green_area/Forest_2891.jpg,Forest_2891.jpg,2,green_area
./data/data/cloudy/train_15677.jpg,train_15677.jpg,0,cloudy
./data/data/green_area/Forest_412.jpg,Forest_412.jpg,2,green_area
./data/data/green_area/Forest_612.jpg,Forest_612.jpg,2,green_area
